State,District,Taluka,Facility Name,Facility Type,Latitude,longitude,Street,Landmark,Locality,Region Indicator,Operational Status,Ownership Authority
Telangana,Adilabad,Utnoor,"Community Health Centre, Utnoor",Community Health Center,19.3673515,78.7690499,Boyawada,Near Little Flower School,Utnoor,Rural,Functional,State Government
Telangana,Adilabad,Boath,"Community Health Centre,Boath",Community Health Center,19.3399205,78.3216329,Near Water Tank,,,Rural,Functional,State Government
Telangana,Adilabad,Adilabad URBAN,"Government Ayurvedic Dispensary, Adilabad (HQ) (Regular)",Ayurveda dispensary,19.6639678,78.5261109,RIMS Hospital Adilabad,RIMS Hospital Adilabad beside Auditorium,Adilabad Town,Urban,Functional,State Government
Telangana,Adilabad,Bela,"Government Ayurvedic Dispensary, Bela (Regular)",Ayurveda dispensary,19.7181264,78.7732132,Main Road Shivaji Chowk,Near Shivaji Chowk,Bela,Rural,Functional,State Government
Telangana,Adilabad,Bazarhathnoor,"Government Ayurvedic Dispensary, Bheempur (NRHM)",Ayurveda dispensary,19.7730129,78.4218988,Police Station Road,Beside ZPHS School,Bheempur,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,"Government Ayurvedic Dispensary, Danthanpally (NRHM)",Ayurveda dispensary,19.328812,78.8174876,"Musleem Colony, Danthanpally",Beside Raithuvedika,Danthanpally Village,Rural,Functional,State Government
Telangana,Adilabad,Inderavelly,"Government Ayurvedic Dispensary, Dasnapur (Regular)",Ayurveda dispensary,19.4470643,78.6131561,SC Wada,GramaPanchayath & PulajiBaba Temple,Dasnapur,Rural,Functional,State Government
Telangana,Adilabad,Bazarhathnoor,"Government Ayurvedic Dispensary, Dehagaon (Regular)",Ayurveda dispensary,19.4735763,78.3804282,"Anganvadi, Shanthinagar",Beside Anganwadi,New Dehagoan,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,"Government Ayurvedic Dispensary, Hasnapur (NRHM)",Ayurveda dispensary,19.4139615,78.800765,Maruguda,Main Road Maruguda Hasnapur,Hasnapur,Rural,Functional,State Government
Telangana,Adilabad,Ichoda,"Government Ayurvedic Dispensary, Ichoda (Regular)",Ayurveda dispensary,19.4223691,78.4537257,Islampura Street,Sirchalma Road,Ichoda Village,Rural,Functional,State Government
Telangana,Adilabad,GADIGUDA,"Government Ayurvedic Dispensary, Jhari (NRHM)",Ayurveda dispensary,19.5821837,78.8473921,Lokari to Jhari main Road,Beside Ashram School,Jhari,Rural,Functional,State Government
Telangana,Adilabad,Talamadugu,"Government Ayurvedic Dispensary, Kuchulapur (Regular)",Ayurveda dispensary,19.6813745,78.3615594,Savari Bunglow,Opiste Post office,Kuchulapur,Rural,Functional,State Government
Telangana,Adilabad,Gudihathnoor,"Government Ayurvedic Dispensary, Mannur (Regular)",Ayurveda dispensary,19.4846542,78.4978494,Beside Gramapanchayth Building,Shivaji Chowk,Mannur,Rural,Functional,State Government
Telangana,Adilabad,Narnoor,"Government Ayurvedic Dispensary, Narnoor (Regular)",Ayurveda dispensary,19.501931,78.849074,Ambedkar Nagar Main Road narnoor,Near by PH Sub Center Narnoor (PHC NNR),narnoor,Rural,Functional,State Government
Telangana,Adilabad,Ichoda,"Government Ayurvedic Dispensary, Narsapur -T (NRHM)",Ayurveda dispensary,19.3500585,78.5048795,Main Road Narsapur T,Sirichalam Road,Narsapur T,Rural,Functional,State Government
Telangana,Adilabad,Boath,"Government Ayurvedic Dispensary, Sonala (Regular)",Ayurveda dispensary,19.417427,78.3144667,Main Road Sonala,PHC Buliding,Sonala Village,Rural,Functional,State Government
Telangana,Adilabad,Talamadugu,"Government Ayurvedic Dispensary, Thalamadugu (NRHM)",Ayurveda dispensary,19.6418302,78.3953984,Main Road Thalamadugu,Opposite Government School,Thalamadugu,Rural,Functional,State Government
Telangana,Adilabad,Tamsi,"Government Ayurvedic Dispensary, Thamsi (NRHM)",Ayurveda dispensary,19.6817598,78.4250903,Sunkadhi Street,Sunkadhi Road,Thamsi-B,Rural,Functional,State Government
Telangana,Adilabad,Neradigonda,"Government Ayurvedic Dispensary, Wankidi (Neredugonda) (Regular)",Ayurveda dispensary,19.2289093,78.393785,Main Road,Beside GramaPanchayath,Boath,Rural,Functional,State Government
Telangana,Adilabad,Jainath,"Government Ayurvedic Dispensary, Zainath (NRHM)",Ayurveda dispensary,19.7306996,78.6427304,Bus Stand Area,BUsstand,Zainath,Rural,Functional,State Government
Telangana,Adilabad,Adilabad URBAN,"Government Homoeo Dispensary, Adilabad (HQ) (Regular)",Homoeopathy dispensary,19.6639678,78.5261109,RIMS Hospital Adilabad,RIMS Hospital Adilabad beside Auditorium,Adilabad Town,Urban,Functional,State Government
Telangana,Adilabad,AIDILABAD RURAL,"Government Homoeo Dispensary, Ankoli (NRHM)",Homoeopathy dispensary,19.6070534,78.5719557,Main Road Ankoli,Beside Rammandir,Ankoli,Rural,Functional,State Government
Telangana,Adilabad,Bazarhathnoor,"Government Homoeo Dispensary, Bazarhathnoor (NRHM)",Homoeopathy dispensary,19.4590583,78.3502082,Bus stand area,Beside MRO Office,Bazarhathnoor,Rural,Functional,State Government
Telangana,Adilabad,Neradigonda,"Government Homoeo Dispensary, Neredugunda (NRHM)",Homoeopathy dispensary,19.3010014,78.4025329,Oppiste ZPHS Neredigonda,Neredigonda,Neredigonda,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,"Government Homoeo Dispensary, Utnoor (Regular)",Homoeopathy dispensary,19.367329,78.7688504,"Boyawada,utnoor",Beside Additional DMHO Office,Utnoor,Rural,Functional,State Government
Telangana,Adilabad,Adilabad URBAN,"Government Unani Dispensary, Adilabad (HQ) (Regular)",Unani  dispensary,19.6639678,78.5261109,RIMS Hospital Adilabad,"RIMS Premises,Beside Auditorium",Adilabad Town,Urban,Functional,State Government
Telangana,Adilabad,Gudihathnoor,"Government Unani Dispensary, Gudihathnoor (NRHM)",Unani  dispensary,19.5288306,78.5104637,Muthnur Road,Near Bhagiratha Tank RTC Backside Busstand,Gudihatnoor,Rural,Functional,State Government
Telangana,Adilabad,Inderavelly,"Government Unani Dispensary, Indravelly (NRHM)",Unani  dispensary,19.4924021,78.6700797,Bheemnagar,ambedkarchowk,"Ambedkarchowk, Bheemnagar",Rural,Functional,State Government
Telangana,Adilabad,Utnoor,"Government Unani Dispensary, Utnoor (NRHM)",Unani  dispensary,19.3657817,78.7729478,Boyawada,Little Flower School,Utnoor,Rural,Functional,State Government
Telangana,Adilabad,AIDILABAD RURAL,"Primary Health Centre, Ankoli",Primary Health Centre,19.6013846,78.5604069,Main Road towards Adilabad,Near ZP High School,Ankoli,Rural,Functional,State Government
Telangana,Adilabad,Bazarhathnoor,"Primary Health Centre, Bazarhathnoor",Primary Health Centre,19.4583153,78.3522213,New colony,Near Z.P High school,Bazarhatnur,Rural,Functional,State Government
Telangana,Adilabad,Bela,"Primary Health Centre, Bela",Primary Health Centre,19.7189177,78.7717061,Bela,Old Busstand,Bela,Rural,Functional,State Government
Telangana,Adilabad,BHEEMPUR,"Primary Health Centre, Bheempur T",Primary Health Centre,19.774933,78.4219005,School Road,UPS School,Bheempur,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,"Primary Health Centre, Danthanpally",Primary Health Centre,19.3259696,78.8198591,"Muslimguda, Danthanpally","Muslimguda, Danthanpally","Muslimguda, Danthanpally",Rural,Functional,State Government
Telangana,Adilabad,GADIGUDA,"Primary Health Centre, Gadiguda",Primary Health Centre,19.6007413,78.9231667,Main Road,SC Hostel,Gadiguda,Rural,Functional,State Government
Telangana,Adilabad,Jainath,"Primary Health Centre, Gimma",Primary Health Centre,19.777591,78.5419503,New Colony,Near HIgh School,New Colony,Rural,Functional,State Government
Telangana,Adilabad,Gudihathnoor,"Primary Health Centre, Gudihathnoor",Primary Health Centre,19.5292668,78.5121323,,Behind Busstand,Gudi Hathnoor,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,"Primary Health Centre, Hasnapur",Primary Health Centre,19.4177209,78.8099472,Maruguda Hasnapur,Maruguda Hasnapur,Maruguda Hasnapur,Rural,Functional,State Government
Telangana,Adilabad,Ichoda,"Primary Health Centre, Ichoda",Primary Health Centre,19.4276033,78.4553013,Sirichalma Road,Near NH 7,Islampura Echoda,Rural,Functional,State Government
Telangana,Adilabad,Jainath,"Primary Health Centre, Jainath",Primary Health Centre,19.7327349,78.6427107,Near Bus Stand,Opp 108 Office,Jainath,Rural,Functional,State Government
Telangana,Adilabad,GADIGUDA,"Primary Health Centre, Jhari",Primary Health Centre,19.58182778,78.85810375,Main Road,Near Ashram High School,Jhari,Rural,Functional,State Government
Telangana,Adilabad,Ichoda,"Primary Health Centre, Narsapur",Primary Health Centre,17.7394297,78.2846303,New Colony,Sirichalma road,Narsapur-T,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,"Primary Health Centre, Shyampur",Primary Health Centre,19.4252185,78.7419528,"Vodder colony, Shyampur","Vodder colony, Shyampur","Vodder colony, Shyampur",Rural,Functional,State Government
Telangana,Adilabad,Boath,"Primary Health Centre, Sonala",Primary Health Centre,19.4179344,78.3166526,Ramalayam Street,Near Pragathi Primary School (Private),"New colony, Sonal",Rural,Functional,State Government
Telangana,Adilabad,Bela,"Primary Health Centre, Syedpur",Primary Health Centre,19.6325419,78.7277814,Syedpur,,Syedpur,Rural,Functional,State Government
Telangana,Adilabad,Talamadugu,"Primary Health Centre, Talamadugu",Primary Health Centre,19.642647,78.3934657,1st Street,Beside Ambedkar Statue,Talamadugu,Rural,Functional,State Government
Telangana,Adilabad,Tamsi,"Primary Health Centre, Tamsi",Primary Health Centre,19.6877718,78.4226112,Main Road,Electricity Sub-station,Tamsi,Rural,Functional,State Government
